Generation;Population TF;Population PR;Fitness;Std;Avg;Min;Best Fitness;Std;Best Individual TF;Best Individual PR
20;[[25, 24, 21], [25, 24, 21], [2, 25, 24, 21], [24, 21], [25, 24, 21]];[[[0,33, 0,83, 0,79], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83, 0,61], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,53, 0,33, 0,83, 0,79], [0,64, 0,21, 0,74, 0,35], [0,55, 0,5, 0,7, 0,46]], [[0,83, 0,79], [0,74, 0,35], [0,7, 0,46]], [[0,33, 0,83, 0,56], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]]];[80,45033005 80,11582509 79,27751542 81,28879358 80,71521827];[1,76663688 0,63355176 1,02467596 1,05848167 0,70937399];80,36953648147092;79,27751542109542;81,28879357690354;1,0584816717417014;[24 21];"[[0,83 0,79]  [0,74 0,35]  [0,7  0,46]]"
21;[[24, 21], [24, 21], [3, 24, 21], [24, 21], [24, 21]];[[[0,83, 0,79], [0,74, 0,35], [0,7, 0,46]], [[0,97, 0,79], [0,74, 0,35], [0,7, 0,46]], [[0,72, 0,83, 0,79], [0,14, 0,74, 0,35], [0,62, 0,7, 0,46]], [[0,83, 0,05], [0,74, 0,35], [0,7, 0,46]], [[0,83, 0,79], [0,74, 0,49], [0,7, 0,46]]];[79,35136036 80,15630342 79,21858478 80,50736985 80,63049429];[0,76271405 0,75256867 1,18691057 1,19505086 0,88287901];79,97282254023303;79,21858478418804;80,63049428997849;0,8828790101746534;[24 21];"[[0,83 0,79]  [0,74 0,49]  [0,7  0,46]]"
22;[[24, 21], [24, 21], [2, 24, 21], [24], [24, 21]];[[[0,83, 0,79], [0,74, 0,49], [0,7, 0,46]], [[0,83, 0,8], [0,74, 0,49], [0,7, 0,46]], [[0,73, 0,83, 0,79], [0,26, 0,74, 0,49], [0,98, 0,7, 0,46]], [[0,83], [0,74], [0,7]], [[0,0, 0,79], [0,74, 0,49], [0,7, 0,46]]];[80,74148721 80,55619645 78,64118375 78,47511603 79,67287476];[1,50056118 0,87515718 1,47336043 0,76635984 0,52110477];79,61737164029323;78,47511602943774;80,74148720988029;1,5005611816805429;[24 21];"[[0,83 0,79]  [0,74 0,49]  [0,7  0,46]]"
23;[[24, 21], [24, 21], [24], [24, 26, 21], [31, 21]];[[[0,83, 0,79], [0,74, 0,49], [0,7, 0,46]], [[0,83, 0,56], [0,74, 0,49], [0,7, 0,46]], [[0,83], [0,74], [0,7]], [[0,83, 0,66, 0,79], [0,74, 0,45, 0,49], [0,7, 0,32, 0,46]], [[0,83, 0,79], [0,74, 0,49], [0,7, 0,46]]];[80,64831823 80,97054332 78,70213537 80,26990583 79,08640355];[1,31527689 0,83012969 1,23346034 0,13331173 1,02620734];79,93546126033658;78,70213537292302;80,97054332064172;0,830129690877571;[24 21];"[[0,83 0,56]  [0,74 0,49]  [0,7  0,46]]"
24;[[24, 21], [24, 21], [24, 21], [24, 7], [24, 21]];[[[0,83, 0,56], [0,74, 0,49], [0,7, 0,46]], [[0,83, 0,56], [0,74, 0,33], [0,7, 0,46]], [[0,83, 0,56], [0,74, 0,49], [0,7, 0,45]], [[0,83, 0,56], [0,74, 0,49], [0,7, 0,46]], [[0,83, 0,56], [0,74, 0,94], [0,7, 0,46]]];[80,75943326 79,62173363 80,35528931 78,31813454 80,52307701];[1,49994187 0,64646514 1,53286045 3,10972135 1,68615271];79,91553355059001;78,31813453781457;80,75943326437014;1,499941874774695;[24 21];"[[0,83 0,56]  [0,74 0,49]  [0,7  0,46]]"
25;[[24, 21], [24], [24, 21], [24], [24, 12, 21]];[[[0,83, 0,56], [0,74, 0,49], [0,7, 0,46]], [[0,83], [0,74], [0,7]], [[0,83, 0,56], [0,74, 0,43], [0,7, 0,46]], [[0,83], [0,74], [0,7]], [[0,83, 0,57, 0,56], [0,74, 0,84, 0,49], [0,7, 0,56, 0,46]]];[80,70308872 78,10316525 81,3393327  79,18770577 78,6195257 ];[1,0894027  0,87194186 0,92443853 0,29166035 1,88477681];79,5905636286757;78,103165253338;81,33933269757989;0,9244385343702989;[24 21];"[[0,83 0,56]  [0,74 0,43]  [0,7  0,46]]"
26;[[24, 21], [13, 24, 21], [24, 21], [24, 21], [21]];[[[0,83, 0,56], [0,74, 0,43], [0,7, 0,46]], [[0,43, 0,83, 0,56], [0,94, 0,74, 0,43], [0,66, 0,7, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,7, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,7, 0,46]], [[0,56], [0,43], [0,46]]];[78,35607731 79,97112928 80,92434002 81,17741576 79,62214881];[4,64094288 0,80673907 0,91338967 1,20579035 1,71649159];80,0102222370518;78,35607730976884;81,17741576159176;1,20579035063843;[24 21];"[[0,83 0,77]  [0,74 0,43]  [0,7  0,46]]"
27;[[24, 21], [8, 21], [24, 21], [24, 21], [25, 21]];[[[0,83, 0,77], [0,74, 0,43], [0,7, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,7, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,39, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,32, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,7, 0,46]]];[79,23590413 78,25053186 80,84293837 80,75957201 80,39463103];[1,8392199  2,68339277 0,96839484 0,95065421 1,1723847 ];79,89671547962827;78,25053185706953;80,84293836633903;0,9683948397377091;[24 21];"[[0,83 0,77]  [0,74 0,43]  [0,39 0,46]]"
28;[[24, 21], [33, 24, 21], [24, 21], [11, 21], [24, 21]];[[[0,83, 0,77], [0,74, 0,43], [0,39, 0,46]], [[0,57, 0,83, 0,77], [0,83, 0,74, 0,43], [0,45, 0,39, 0,46]], [[0,83, 0,77], [0,74, 0,43], [0,39, 0,23]], [[0,83, 0,77], [0,74, 0,43], [0,39, 0,46]], [[0,83, 0,77], [0,61, 0,43], [0,39, 0,46]]];[81,08258902 80,51415547 77,76262789 77,22628398 79,61562793];[0,51670841 0,59414232 5,34158367 3,48782681 1,50926282];79,24025685569534;77,22628397880251;81,08258901510817;0,5167084081558488;[24 21];"[[0,83 0,77]  [0,74 0,43]  [0,39 0,46]]"
29;[[24, 21], [21], [23, 24, 21], [9, 24, 21], [24]];[[[0,83, 0,77], [0,74, 0,43], [0,39, 0,46]], [[0,77], [0,43], [0,46]], [[0,54, 0,83, 0,77], [0,82, 0,74, 0,43], [0,05, 0,39, 0,46]], [[0,32, 0,83, 0,77], [0,13, 0,74, 0,43], [0,01, 0,39, 0,46]], [[0,83], [0,74], [0,39]]];[80,93497966 80,84775395 80,22616024 80,10145598 78,12248913];[0,64380903 1,31965857 0,68253664 1,20630688 2,01924519];80,04656779139259;78,12248912825223;80,93497965664915;0,643809029764476;[24 21];"[[0,83 0,77]  [0,74 0,43]  [0,39 0,46]]"
